术语名,定义1来源标准,定义2来源标准,冲突类型,冲突描述
BDS时间,信息安全技术 数据库管理系统安全评估准则,遥感卫星全色数据产品分级,引用冲突,两个定义分别引用了不同的标准或来源（GB/T 19391 与 北斗卫星导航系统），导致对同一术语“BDS时间”的规定或解释来源不同，可能产生矛盾。
BDS时间,信息安全技术 数据库管理系统安全评估准则,陆地观测卫星地面系统数据传输与交换接口要求,引用冲突,两个定义分别引用不同标准（GB/T 19391与北斗系统时间基准）作为定义依据，导致规定来源不同且可能产生矛盾。
BDS时间,信息安全技术 数据库管理系统安全评估准则,信息技术 大数据 技术参考模型,引用冲突,两个定义分别引用了不同的标准（GB/T 19391 与 北斗系统自身的时间基准定义），导致对术语“BDS时间”的规定来源和具体内涵存在矛盾。
BDS时间,信息安全技术 数据库管理系统安全评估准则,用户端能源管理系统 第3-2部分：子系统接口网关数据配置,引用冲突,两个定义分别引用不同权威来源（GB/T 19391 和 北斗系统直接描述），且依据引用导致对术语的规定（具体定义内容）存在差异。
BDS时间,信息安全技术 数据库管理系统安全评估准则,运输与仓储业务数据交换应用规范,引用冲突,两个定义分别引用了不同的标准或规范（GB/T 19391 与 北斗卫星导航系统自身规范），导致对同一术语“BDS时间”的规定来源和具体内涵存在差异。
BDS时间,信息安全技术 数据库管理系统安全评估准则,输变电工程数据移交规范,引用冲突,两个定义分别引用了不同的标准（GB/T 19391）和直接描述（北斗卫星导航系统的时间标准），且依据不同引用来源导致对术语的规定和解释方式不同。
BDS时间,信息安全技术 数据库管理系统安全评估准则,土壤科学数据元数据,引用冲突,两个定义分别引用不同标准（GB/T 19391 与 北斗系统自身定义）作为依据，导致对同一术语的界定来源和具体内容规定不同。
BDS时间,信息安全技术 数据库管理系统安全评估准则,道路交通信息服务 数据服务质量规范,引用冲突,两个定义分别引用了不同的标准（GB/T 19391）和直接描述（北斗卫星导航系统时间），且引用来源不同导致定义表述形式不同，但核心概念指向一致，符合引用冲突特征。
BDS时间,信息安全技术 数据库管理系统安全评估准则,信息技术 大数据 术语,引用冲突,两个定义分别引用了不同的标准（GB/T 19391）和直接描述，导致对术语“BDS时间”的权威规定来源和具体内涵存在矛盾。
BDS时间,信息安全技术 数据库管理系统安全评估准则,航天术语 空间数据与信息传输,引用冲突,两个定义分别引用了不同的国家标准（GB/T 19391 与 GB/T 2900.54-2002）作为定义依据，导致其规定来源不同。
BDS时间,信息安全技术 数据库管理系统安全评估准则,道路交通信息服务 浮动车数据编码,引用冲突,两个定义分别引用了不同的标准或来源（GB/T 19391 与 北斗卫星导航系统），且这些引用来源对术语的规定或解释存在差异。
BDS时间,信息安全技术 数据库管理系统安全评估准则,电力系统实时动态监测系统 第2部分：数据传输协议,引用冲突,两个定义分别引用了不同的权威标准（GB/T 19391 与 北斗系统自身定义），导致对“BDS时间”的界定依据和具体表述存在矛盾。
BDS时间,信息安全技术 数据库管理系统安全评估准则,道路交通运输 地理信息系统 数据字典要求,引用冲突,两个定义分别引用了不同的标准（GB/T 19391 与 北斗系统自身定义），导致对术语“BDS时间”的规定来源和具体内涵存在矛盾。
BDS时间,信息安全技术 数据库管理系统安全评估准则,基础地理信息数据质量要求与评定,引用冲突,两个定义分别引用了不同的标准（GB/T 19391 与 北斗系统自身）作为定义依据，导致对术语“BDS时间”的权威规定来源不同。
BDS时间,信息安全技术 数据库管理系统安全评估准则,国际货运代理系列单证 单证数据项,引用冲突,两个定义分别引用了不同的权威来源（GB/T 19391 和 北斗卫星导航系统），且依据这些引用来源可能导致对术语的具体规定或解释存在差异。
BDS时间,信息安全技术 数据库管理系统安全评估准则,全球连续监测评估系统（iGMAS）文件格式 第1部分：观测数据,引用冲突,两个定义分别引用了不同的国家标准（GB/T 19391 与 GB/T 39267）作为定义依据，这构成了基于不同权威来源的引用冲突。
BDS时间,信息安全技术 数据库管理系统安全评估准则,信息技术 传感器网络 第702部分：传感器接口：数据接口,引用冲突,两个定义分别引用了不同的国家标准（GB/T 19391 与 GB/T 30269.701—2014）作为定义依据，导致规定来源不同。
BDS时间,信息安全技术 数据库管理系统安全评估准则,证券期货业与银行间业务数据交换协议 第1部分：三方存管、银期转账和结售汇业务,引用冲突,两个定义分别引用了不同的权威来源（GB/T 19391 与北斗系统自身定义），且引用的规定内容（是否明确提及与UTC同步）存在差异。
BDS时间,信息安全技术 数据库管理系统安全评估准则,信息安全技术 数据库管理系统安全技术要求,引用冲突,两个定义分别引用了不同的标准（GB/T 19391）和直接描述（北斗系统时间基准），且引用来源不同导致对术语的规定或描述方式存在差异。
BDS时间,信息安全技术 数据库管理系统安全评估准则,行政、商业和运输业电子数据交换 第3部分：段目录,引用冲突,两个定义分别引用了不同的标准（GB/T 19391）和直接描述（北斗系统时间基准），且引用来源不同导致对术语的规定或描述方式存在差异。
BDS时间,信息安全技术 数据库管理系统安全评估准则,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,引用冲突,两个定义分别引用了不同的标准（GB/T 19391 与 北斗系统自身定义），且引用来源导致对同一术语（BDS时间/北斗时）的规定或描述框架不同。
BDS时间,信息安全技术 数据库管理系统安全评估准则,民用飞机维修技术数据规范,引用冲突,两个定义分别引用了不同的标准或来源（GB/T 19391 与 北斗卫星导航系统），且未提供统一的内涵描述，导致依据的权威规定不同。
BDS时间,信息安全技术 数据库管理系统安全评估准则,互联网数据中心（IDC）技术和分级要求,引用冲突,两个定义分别引用了不同的标准或来源（GB/T 19391 与 北斗卫星导航系统），且未表明其概念一致性，导致定义依据不同。
BDS时间,信息安全技术 数据库管理系统安全评估准则,GNSS接收机数据自主交换格式,引用冲突,两个定义分别引用了不同的标准（GB/T 19391 与 GNSS 接收机数据自主交换格式），导致对同一术语“BDS时间”的规定和描述视角不同。
BDS时间,信息安全技术 数据库管理系统安全评估准则,空间数据与信息传输系统 参考体系架构,引用冲突,两个定义分别引用了不同的权威标准（GB/T 19391 与 北斗卫星导航系统自身）作为定义依据，导致对术语“BDS时间”的规定来源不同。
BDS时间,信息安全技术 数据库管理系统安全评估准则,智能电网用户端系统数据接口一般要求,引用冲突,两个定义分别引用不同标准（GB/T 19391与未明确定义）作为依据，导致无法在同一规范框架下进行有效对比。
